seed,transfer,prevalence,budget,noise,level,success
9206,0.25,1.0,40,0.4,failure,0.69
9201,0.5,0.25,40,0.4,global,0.4666666666666667
9201,0.5,0.25,40,0.4,capability,0.5333333333333333
9201,0.5,0.25,40,0.4,family,0.5
9201,0.5,0.25,40,0.4,failure,0.49
9202,0.5,0.25,40,0.4,global,0.39666666666666667
9202,0.5,0.25,40,0.4,capability,0.57
9202,0.5,0.25,40,0.4,family,0.46
9202,0.5,0.25,40,0.4,failure,0.47333333333333333
9203,0.5,0.25,40,0.4,global,0.49
9203,0.5,0.25,40,0.4,capability,0.5466666666666666
9203,0.5,0.25,40,0.4,family,0.5066666666666667
9203,0.5,0.25,40,0.4,failure,0.5366666666666666
9204,0.5,0.25,40,0.4,global,0.48
9204,0.5,0.25,40,0.4,capability,0.5066666666666667
9204,0.5,0.25,40,0.4,family,0.54
9204,0.5,0.25,40,0.4,failure,0.5333333333333333
9205,0.5,0.25,40,0.4,global,0.56
9205,0.5,0.25,40,0.4,capability,0.57
9205,0.5,0.25,40,0.4,family,0.6033333333333334
9205,0.5,0.25,40,0.4,failure,0.5766666666666667
9206,0.5,0.25,40,0.4,global,0.5033333333333333
9206,0.5,0.25,40,0.4,capability,0.5266666666666666
9206,0.5,0.25,40,0.4,family,0.5066666666666667
9206,0.5,0.25,40,0.4,failure,0.54
9201,0.5,0.5,40,0.4,global,0.54
9201,0.5,0.5,40,0.4,capability,0.64
9201,0.5,0.5,40,0.4,family,0.5566666666666666
9201,0.5,0.5,40,0.4,failure,0.5866666666666667
9202,0.5,0.5,40,0.4,global,0.41333333333333333
9202,0.5,0.5,40,0.4,capability,0.5866666666666667
9202,0.5,0.5,40,0.4,family,0.5066666666666667
9202,0.5,0.5,40,0.4,failure,0.5766666666666667
9203,0.5,0.5,40,0.4,global,0.54
9203,0.5,0.5,40,0.4,capability,0.62
9203,0.5,0.5,40,0.4,family,0.5633333333333334
9203,0.5,0.5,40,0.4,failure,0.64
9204,0.5,0.5,40,0.4,global,0.43333333333333335
9204,0.5,0.5,40,0.4,capability,0.51
9204,0.5,0.5,40,0.4,family,0.5466666666666666
9204,0.5,0.5,40,0.4,failure,0.62
9205,0.5,0.5,40,0.4,global,0.5666666666666667
9205,0.5,0.5,40,0.4,capability,0.56
9205,0.5,0.5,40,0.4,family,0.5866666666666667
9205,0.5,0.5,40,0.4,failure,0.5833333333333334
9206,0.5,0.5,40,0.4,global,0.58
9206,0.5,0.5,40,0.4,capability,0.67
9206,0.5,0.5,40,0.4,family,0.6333333333333333
9206,0.5,0.5,40,0.4,failure,0.6866666666666666
9201,0.5,0.75,40,0.4,global,0.5033333333333333
9201,0.5,0.75,40,0.4,capability,0.65
9201,0.5,0.75,40,0.4,family,0.5733333333333334
9201,0.5,0.75,40,0.4,failure,0.6333333333333333
9202,0.5,0.75,40,0.4,global,0.45
9202,0.5,0.75,40,0.4,capability,0.6733333333333333
9202,0.5,0.75,40,0.4,family,0.55
9202,0.5,0.75,40,0.4,failure,0.6833333333333333
9203,0.5,0.75,40,0.4,global,0.5
9203,0.5,0.75,40,0.4,capability,0.6
9203,0.5,0.75,40,0.4,family,0.5633333333333334
9203,0.5,0.75,40,0.4,failure,0.67
9204,0.5,0.75,40,0.4,global,0.44
9204,0.5,0.75,40,0.4,capability,0.5266666666666666
9204,0.5,0.75,40,0.4,family,0.6366666666666667
9204,0.5,0.75,40,0.4,failure,0.6466666666666666
9205,0.5,0.75,40,0.4,global,0.5533333333333333
9205,0.5,0.75,40,0.4,capability,0.5566666666666666
9205,0.5,0.75,40,0.4,family,0.6833333333333333
9205,0.5,0.75,40,0.4,failure,0.67
9206,0.5,0.75,40,0.4,global,0.5333333333333333
9206,0.5,0.75,40,0.4,capability,0.64
9206,0.5,0.75,40,0.4,family,0.63
9206,0.5,0.75,40,0.4,failure,0.7166666666666667
9201,0.5,1.0,40,0.4,global,0.5133333333333333
9201,0.5,1.0,40,0.4,capability,0.66
9201,0.5,1.0,40,0.4,family,0.6133333333333333
9201,0.5,1.0,40,0.4,failure,0.67
9202,0.5,1.0,40,0.4,global,0.43333333333333335
9202,0.5,1.0,40,0.4,capability,0.7233333333333334
9202,0.5,1.0,40,0.4,family,0.6133333333333333
9202,0.5,1.0,40,0.4,failure,0.75
9203,0.5,1.0,40,0.4,global,0.48333333333333334
9203,0.5,1.0,40,0.4,capability,0.56
9203,0.5,1.0,40,0.4,family,0.5533333333333333
9203,0.5,1.0,40,0.4,failure,0.78
9204,0.5,1.0,40,0.4,global,0.42
9204,0.5,1.0,40,0.4,capability,0.5466666666666666
9204,0.5,1.0,40,0.4,family,0.6433333333333333
9204,0.5,1.0,40,0.4,failure,0.7133333333333334
9205,0.5,1.0,40,0.4,global,0.5833333333333334
9205,0.5,1.0,40,0.4,capability,0.6
9205,0.5,1.0,40,0.4,family,0.7533333333333333
9205,0.5,1.0,40,0.4,failure,0.73
9206,0.5,1.0,40,0.4,global,0.53
9206,0.5,1.0,40,0.4,capability,0.6533333333333333
9206,0.5,1.0,40,0.4,family,0.63
9206,0.5,1.0,40,0.4,failure,0.77
9201,0.75,0.25,40,0.4,global,0.42333333333333334
9201,0.75,0.25,40,0.4,capability,0.5333333333333333
9201,0.75,0.25,40,0.4,family,0.49333333333333335
9201,0.75,0.25,40,0.4,failure,0.52
9202,0.75,0.25,40,0.4,global,0.47333333333333333
9202,0.75,0.25,40,0.4,capability,0.5266666666666666
9202,0.75,0.25,40,0.4,family,0.5133333333333333
9202,0.75,0.25,40,0.4,failure,0.53
9203,0.75,0.25,40,0.4,global,0.42333333333333334
9203,0.75,0.25,40,0.4,capability,0.5733333333333334
9203,0.75,0.25,40,0.4,family,0.53
9203,0.75,0.25,40,0.4,failure,0.53
9204,0.75,0.25,40,0.4,global,0.5433333333333333
9204,0.75,0.25,40,0.4,capability,0.5466666666666666
9204,0.75,0.25,40,0.4,family,0.5966666666666667
9204,0.75,0.25,40,0.4,failure,0.5466666666666666
9205,0.75,0.25,40,0.4,global,0.52
