noise,budget,transfer,prevalence,level,mean,std,count
0.2,40,0.75,1.0,failure,0.8183333333333334,0.03074988708199681,6
0.2,40,0.75,1.0,family,0.7533333333333333,0.03565264521898917,6
0.2,40,0.75,1.0,global,0.49666666666666665,0.04746928831711438,6
0.2,40,1.0,0.25,capability,0.5822222222222222,0.034426518632954844,6
0.2,40,1.0,0.25,failure,0.5555555555555555,0.03512939045975712,6
0.2,40,1.0,0.25,family,0.5538888888888889,0.03415108045576738,6
0.2,40,1.0,0.25,global,0.5211111111111112,0.041562090989354775,6
0.2,40,1.0,0.5,capability,0.6316666666666667,0.049204787481617156,6
0.2,40,1.0,0.5,failure,0.6644444444444444,0.04204054480388434,6
0.2,40,1.0,0.5,family,0.6216666666666667,0.04425933674253251,6
0.2,40,1.0,0.5,global,0.5222222222222223,0.06410639304803878,6
0.2,40,1.0,0.75,capability,0.6466666666666666,0.036392917503883127,6
0.2,40,1.0,0.75,failure,0.7322222222222222,0.018338383142913577,6
0.2,40,1.0,0.75,family,0.6761111111111111,0.03672218019832858,6
0.2,40,1.0,0.75,global,0.5011111111111112,0.0587524625173435,6
0.2,40,1.0,1.0,capability,0.6655555555555556,0.04435546648844324,6
0.2,40,1.0,1.0,failure,0.813888888888889,0.03690327697985439,6
0.2,40,1.0,1.0,family,0.7227777777777779,0.03213974117759757,6
0.2,40,1.0,1.0,global,0.4855555555555555,0.07675839922674167,6
0.2,80,0.0,0.25,capability,0.6705555555555556,0.02711429853758318,6
0.2,80,0.0,0.25,failure,0.5561111111111111,0.031581757509793675,6
0.2,80,0.0,0.25,family,0.5877777777777778,0.024825315633366977,6
0.2,80,0.0,0.25,global,0.63,0.008432740427115651,6
0.2,80,0.0,0.5,capability,0.7094444444444444,0.030362013303663712,6
0.2,80,0.0,0.5,failure,0.635,0.0277888866675551,6
0.2,80,0.0,0.5,family,0.6655555555555556,0.028726036712104674,6
0.2,80,0.0,0.5,global,0.6177777777777779,0.053402732625324086,6
0.2,80,0.0,0.75,capability,0.7733333333333333,0.029589788028229546,6
0.2,80,0.0,0.75,failure,0.726111111111111,0.019935079819439122,6
0.2,80,0.0,0.75,family,0.7472222222222222,0.019022403945134055,6
0.2,80,0.0,0.75,global,0.655,0.060101765549958844,6
0.2,80,0.0,1.0,capability,0.8055555555555557,0.04036867138796656,6
0.2,80,0.0,1.0,failure,0.8116666666666666,0.015165750888103144,6
0.2,80,0.0,1.0,family,0.8177777777777777,0.013277661552257448,6
0.2,80,0.0,1.0,global,0.6366666666666667,0.0538722769355651,6
0.2,80,0.25,0.25,capability,0.6744444444444445,0.036797745502599365,6
0.2,80,0.25,0.25,failure,0.58,0.015347819244295123,6
0.2,80,0.25,0.25,family,0.5994444444444444,0.02453266907313288,6
0.2,80,0.25,0.25,global,0.6522222222222221,0.02344418114649409,6
