seed,level,support_entropy,coverage,state_repair,heldout,external,target_success,all_skill_gain
9139,capability,0.45674671261458877,0.06666666666666667,0.5340220765866188,0.628,0.596,0.854,0.30905552546634074
9139,family,0.2760915793504337,0.047058823529411764,0.5992843201061254,0.468,0.426,0.834,0.17903864408335435
9139,failure,0.233314565839681,0.03529411764705882,0.6315588438235051,0.464,0.434,0.836,0.18099429588730076
9140,global,0.5918644290337536,0.1450980392156863,0.4250432284609703,0.756,0.67,0.738,0.4121469685061995
9140,capability,0.4655656787820906,0.07450980392156863,0.5847635339211965,0.664,0.612,0.836,0.31678277001434907
9140,family,0.2707205435748913,0.0392156862745098,0.6085011416890826,0.556,0.464,0.812,0.19337765845995045
9140,failure,0.231190948418158,0.03529411764705882,0.4589663748296475,0.55,0.478,0.814,0.16743611643055517
9141,global,0.5866259477135627,0.12941176470588237,0.42260260689597284,0.722,0.642,0.706,0.3955854865063154
9141,capability,0.47326992848645133,0.06666666666666667,0.5761997702734534,0.618,0.552,0.82,0.30658354395006904
9141,family,0.27287819168772653,0.043137254901960784,0.6303274276922758,0.508,0.464,0.798,0.18973318180171406
9141,failure,0.21314286307256133,0.03137254901960784,0.5593670803727602,0.448,0.402,0.802,0.16804555170759689
9142,global,0.5591013126227995,0.13333333333333333,0.39378009130980074,0.706,0.652,0.772,0.37749269156782694
9142,capability,0.45077993052139537,0.058823529411764705,0.5643073412560835,0.6,0.574,0.838,0.29069053936716066
9142,family,0.26667994778743415,0.0392156862745098,0.5499093234034271,0.49,0.462,0.82,0.18404736692629758
9142,failure,0.2020200798098448,0.0392156862745098,0.544682604424284,0.49,0.426,0.822,0.15751302478882162
9143,global,0.6235915625276096,0.15294117647058825,0.4667846200860317,0.786,0.738,0.796,0.4270976204727702
9143,capability,0.48721503819987816,0.08235294117647059,0.623418366008902,0.65,0.588,0.828,0.3227592944378406
9143,family,0.23502752414627848,0.03137254901960784,0.5853070425193272,0.532,0.486,0.81,0.18091207022877495
9143,failure,0.1898423126269039,0.03137254901960784,0.5952346442859064,0.53,0.474,0.818,0.15445000264011188
9144,global,0.5893286439848051,0.1411764705882353,0.3336620280477368,0.718,0.642,0.722,0.3713531924975616
9144,capability,0.46423774639810544,0.06274509803921569,0.5504720508140868,0.56,0.534,0.826,0.31824563875103307
9144,family,0.2676371098007375,0.043137254901960784,0.5740733542410871,0.508,0.446,0.824,0.198200422340053
9144,failure,0.24452438860896683,0.043137254901960784,0.6017729427950698,0.468,0.406,0.816,0.18952426186836996
9145,global,0.5709532293232689,0.12549019607843137,0.3300929960618243,0.732,0.702,0.692,0.39111073202449065
9145,capability,0.5019781222607143,0.08627450980392157,0.6062990715187343,0.632,0.612,0.86,0.3251298893429551
9145,family,0.27624420482376966,0.043137254901960784,0.5953353243219435,0.502,0.44,0.836,0.17917004280193044
9145,failure,0.20001521943927178,0.03529411764705882,0.6017896153113902,0.506,0.474,0.832,0.16696848679399165
9146,global,0.5774093605153741,0.13333333333333333,0.520692780926189,0.69,0.65,0.832,0.37841229263654574
9146,capability,0.47100147734124254,0.07450980392156863,0.5825779540823486,0.646,0.552,0.852,0.32658551078542347
9146,family,0.2621083144917531,0.043137254901960784,0.5464442705133673,0.506,0.424,0.828,0.1818019787793122
9146,failure,0.19045552669048635,0.03137254901960784,0.6715464649760803,0.482,0.444,0.834,0.17271085412895815
9147,global,0.5750788165456914,0.12549019607843137,0.28138517583580375,0.764,0.702,0.648,0.40524551037901735
9147,capability,0.4786295153787965,0.0784313725490196,0.5984599090423721,0.664,0.566,0.832,0.3038457818969001
9147,family,0.27621844610359875,0.050980392156862744,0.5361785781412138,0.51,0.406,0.808,0.19277683544983248
9147,failure,0.21598629180012757,0.043137254901960784,0.5549526609458695,0.548,0.438,0.814,0.16738994618605013
9148,global,0.581108674572977,0.13333333333333333,0.46785344127960776,0.706,0.696,0.848,0.3981054784756602
9148,capability,0.46857572200984504,0.07058823529411765,0.60310907423667,0.622,0.586,0.852,0.3120551212658379
9148,family,0.2569936841246052,0.03529411764705882,0.5267199655584489,0.504,0.436,0.83,0.17565366193487156
9148,failure,0.2183589256706139,0.03137254901960784,0.6157149008076555,0.506,0.448,0.844,0.17112605305888076
9149,global,0.5641728827210574,0.13333333333333333,0.4639072836552723,0.676,0.662,0.806,0.3725305724436747
9149,capability,0.44865228989386735,0.06274509803921569,0.5636299995765472,0.594,0.564,0.79,0.3060782375955824
9149,family,0.261407049537694,0.043137254901960784,0.5509389174462695,0.51,0.466,0.822,0.18010089225273296
